,맥주정보,검색이름,맥주이름
0,"TrappistExports38(216)
🇸🇰Košice, Slovakia
3.0September 23, 2021
0.5l bottle from Amsterdam Dark brown colour whit good brownish head aróma of roast taste of bread roast
BOTTLE
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
3
Overall
11",Erdinger Dunkel,Erdinger Weissbier Dunkel
1,"Dzony95(166)
🇷🇸Belgrade, Serbia
3.1September 23, 2021
0.5 bottle from Maxi

Pours dark cloudy chocolate color with thin white head.…
Show more
BOTTLE
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
13",Erdinger Dunkel,Erdinger Weissbier Dunkel
2,"FlightMuse86(2)
4.6September 17, 2021
It would be very silly to consider this beer one of the best that I have tasted but it is really great :)
BOTTLE
@ BrauHaus
Aroma
7
Appearance
4
Flavor
10
Mouthfeel
5
Overall
20",Erdinger Dunkel,Erdinger Weissbier Dunkel
3,"olberic(612)
3.4July 28, 2021
Aroma of banana, wheat, mild grass
Dark brown colour with small head
Taste is banana, wheat, hay, slight mango…
Show more
Aroma
6
Appearance
4
Flavor
7
Mouthfeel
3
Overall
14",Erdinger Dunkel,Erdinger Weissbier Dunkel
4,"dchad56(1,194)
3.3July 25, 2021
Bottle  - dark brown with good off white head. Pleasant fruity aroma. Good mouthfeel. Very good tasting - slight fruit, slight banana. Good dark weiss.
BOTTLE
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
4
Overall
13",Erdinger Dunkel,Erdinger Weissbier Dunkel
5,"royalbeer(541)
🇳🇴Norway
3.3June 16, 2021
Dark brown in colour. Taste and aroma of sweet malt, raisins, bananas and caramel. A quite good beer.
BOTTLE
@ Vinmonopolet Lillehammer
Aroma
6
Appearance
4
Flavor
7
Mouthfeel
3
Overall
13",Erdinger Dunkel,Erdinger Weissbier Dunkel
6,"dragnet101(1,974)
🇬🇧Birmingham, England
3.5May 20, 2021
500ml bottle. Dark brown with medium beige head which quickly dissipates leaving circular retention. Aroma of sweet malts, banana, caramel and raisins; nice. Taste is sweet…
Show more
BOTTLE
@ Chester Beer and Wine
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
4
Overall
14",Erdinger Dunkel,Erdinger Weissbier Dunkel
7,"47574xeCD(2,670)
🇬🇧Coventry, England
3.3May 3, 2021
500ml bottle at home. Hazed brown cream head dark malt wheat beer decent enough
BOTTLE
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
3
Overall
14",Erdinger Dunkel,Erdinger Weissbier Dunkel
8,"jybi(1,790)
🇳🇨Nouméa, New Caledonia
3.3May 1, 2021
Si l'intensité aromatique et l'alcool, à 5,3 % avaient été à la hauteur de la richesse aromatique du nez, nous aurions eu une belle bière. Mais en définitive on ne peut que rager,…
Show more
BOTTLE
Aroma
7
Appearance
5
Flavor
6
Mouthfeel
2
Overall
13
1",Erdinger Dunkel,Erdinger Weissbier Dunkel
9,"robinshute123(352)
🇬🇧Torquay, England
4.1April 26, 2021
Dark brown with big white head. Smells malty, of banana and caramel. taste is dark banana, chocolate, malts and caramel. Slightly thin but refreshing and crisp and easy to drink :)
BOTTLE
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-
1",Erdinger Dunkel,Erdinger Weissbier Dunkel
10,"TomHendriksen(4,657)
🇳🇱Netherlands
3.3April 16, 2021
*Rating overgezet 2016* Het is een donkerbruin bier met een beige schuim. Het heeft een gebrande moutige wat caramel achtige geur. De smaak is moutig, zacht zoet en licht hoppig.
BOTTLE
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
3
Overall
13",Erdinger Dunkel,Erdinger Weissbier Dunkel
11,"flelau(221)
🇩🇰Kastrup, Denmark
3.2April 15, 2021
Mørk med fint skum. Lidt skovbund og humle. Smag lidt sød og god fylde med meget let bitterhed og kuldioxid. God weissbier.
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Erdinger Dunkel,Erdinger Weissbier Dunkel
12,"msel(36)
3.7March 31, 2021
Mørk og fint med høyt skum. God på smak. Kanskje litt kort, men fin ettersmak. Ikke mye banan. Litt mektig. Bra saker.
BOTTLE
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Erdinger Dunkel,Erdinger Weissbier Dunkel
13,"TheWhaleNorman(454)
🇷🇺Moscow, Russia
3.4March 26, 2021
Dark banana, chocolate, malts, treacle, caramel. Interesting aroma and flavour, different from other dunkel weizens
BOTTLE
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
16",Erdinger Dunkel,Erdinger Weissbier Dunkel
14,"YD84(317)
🇬🇧Buckie, Scotland
3.7March 21, 2021
500ml bottle from Tesco. Pours a very dark brown with a lasting tan head. Aroma of dark malts, toast bread, dark chocolate and spices, predominantly cloves. Taste is more…
Show more
BOTTLE
Aroma
7
Appearance
4
Flavor
8
Mouthfeel
3
Overall
15",Erdinger Dunkel,Erdinger Weissbier Dunkel
15,"radassace(984)
🇬🇧Scotland
3.4March 15, 2021
500ml bottle. Tesco. £1.75. Pours dark brown with a beige head. Roaring carbonation. Aroma is fairly subdued banana, toasted bran cereal and caramel. Light mouthfeel. Taste is…
Show more
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
3
Overall
13",Erdinger Dunkel,Erdinger Weissbier Dunkel
16,"weizen-slayer(626)
🇩🇪Passau, Germany
3.4January 30, 2021
Schöne, sehr dunkle Farbe. Röstmalz ist klar geschmacksbestimmend: Wobei die Betonung auf „Malz“ liegt. Anders als die Farbe vermuten lässt, ist das Bier nicht…
Show more
BOTTLE
Aroma
8
Appearance
4
Flavor
6
Mouthfeel
3
Overall
13",Erdinger Dunkel,Erdinger Weissbier Dunkel
